OBJECTID,STREET_DIR,L_LADD,L_LSRC,L_HADD,L_HSRC,R_LADD,R_LSRC,R_HADD,R_HSRC,L_POSTAL,R_POSTAL,STREET_CLA,ONEWAY,ONEWAY_DIR,DATA_ADD1,DATE_EDIT,COMMENTS,WIDTH,GGM_ID,STATUS,CHECK_,SECT_NO,SECT_OLD,ROAD_NAME_ID,SEGMENT_ID,STREET_NAME,STREET_TYPE,STREET_DIR_PREFIX,STREET_TYPE_PREFIX,ALIAS_ST_D,JURISDICTION,FULL_STREET_NAME,ROUTE,L_MUNC_ID,R_MUNC_ID,L_MUNC_FULL,R_MUNC_FULL,END_DATE,ENG_CLASS,SPEED_LIMIT,HEIGHT_LIMIT,PLAN_CLASS,WEIGHT_LIMIT,PLOW_PR,ENTRY_UID,ENTRY_WHEN,GISID,DATA_ADD,TOP_ALIAS,GLOBALID,PARENTID,NUM_PASSES,WINTER_ZON,ResurfacingStage,SHAPESTLength
3627,,150,K,178,K,151,K,179,K, , ,U,,,19960409,20010223, ,0,7124, ,3,3106, ,1080,4622,SOLINGATE,DR,,,,M,SOLINGATE DR,SOLINGATE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,40,,,,2,RDEAN,2017/11/28 13:00:41+00,3106,1970/01/01 00:00:00+00,,{FCA041B6-38CB-4E75-95B4-539D01A342AD},,1,Z2,,94.9272929192093
3628,,2130,K,2160,K,2131,K,2159,K, , ,U,,,19960409,19990222, ,0,7108, ,3,3107, ,1000,4666,SALMON,RD,,,,M,SALMON RD,SALMON RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:41+00,3107,1970/01/01 00:00:00+00,,{8595CEAB-6311-43CB-96E5-98B1A7FEAF1C},,2,P2,,164.754237625975
3629,,120,K,160,K,121,K,159,K, , ,U,,,19960409,20010223, ,0,7107, ,3,3108,04820,1214,4667,ULSTER,DR,,,,M,ULSTER DR,ULSTER DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:42+00,3108,1970/01/01 00:00:00+00,,{BE22DC1B-9C17-41B6-887B-4CDC3316F4EE},,2,P2,,309.477024610063
3630,,188,K,210,K,189,K,209,K, , ,U,,,19960409, , ,0,7141, ,3,3109,04860,995,4597,SABEL,ST,,,,M,SABEL ST,SABEL ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:42+00,3109,1970/01/01 00:00:00+00,,{FE610D1F-2C40-4511-9CD2-890A3F0F452E},,2,P2,,95.9402029386568
3631,,180,K,220,K,181,K,219,K, , ,U,,,19960409,20010223, ,0,7133, ,3,3110,04800,1080,4606,SOLINGATE,DR,,,,M,SOLINGATE DR,SOLINGATE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,40,,,,2,RDEAN,2017/11/28 12:32:02+00,3110,1970/01/01 00:00:00+00,,{3EDBE08F-62D8-4C6C-A3AD-EAD84EBF85A1},,1,Z2,,132.362677311416
3632,,2096,K,2118,K,2097,K,2119,K, , ,U,,,19960409,20010223, ,0,7140, ,3,3111,01040,539,4595,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,40,,,,2,RDEAN,2017/11/28 12:27:13+00,3111,1970/01/01 00:00:00+00,,{5FBCC0A9-8E72-4597-A099-299B473463CD},,1,Z2,,92.4021714093464
3633,,2120,K,2142,K,2121,K,2141,K, , ,U,,,19960409,19990222, ,0,6092, ,3,3112,01042,539,4602,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,40,,,,2,RDEAN,2017/11/28 13:00:43+00,3112,1970/01/01 00:00:00+00,,{2DB60FC5-8C30-4CEB-B4D3-C692121EBB5B},,1,Z2,,94.8283538679875
3634,,2144,K,2170,K,2143,K,2171,K, , ,U,,,19960409,19990222, ,0,6091, ,3,3113,01042,539,4624,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,40,,,,2,RDEAN,2017/11/28 12:27:14+00,3113,1970/01/01 00:00:00+00,,{770B585A-D485-4A16-8AD2-68A28B8DFE4C},,1,Z2,,126.679982401557
3635,,2220,K,2328,K,2221,K,2329,K, , ,1,,,19960409,19970724, ,0,6451, ,3,3114,00192,930,8150,REBECCA,ST,,,,M,REBECCA ST,REBECCA ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,3,50,,R,,1,RDEAN,2017/11/28 13:00:43+00,3114,1970/01/01 00:00:00+00,,{43DF7C78-E9D9-42AC-880B-4A40FAF136C6},,2,R1,,336.279472338604
3636,,2170,K,2214,K,2171,K,2215,K, , ,U,,,19960409,20010223, ,0,7129, ,3,3115,05010,1144,4615,SUNNYVALE,DR,,,,M,SUNNYVALE DR,SUNNYVALE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:44+00,3115,1970/01/01 00:00:00+00,,{DF8B6533-F6B2-4218-AB2F-D6EFA94D1B50},,2,P2,,172.016319126853
3637,,1332,K,1340,K,1333,K,1339,K, , ,U,,,20000907,20000907, ,0, , ,0,3625, ,421,9108,GLENAYR,GATE,,,,M,GLENAYR GATE,GLENAYR GATE,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:44+00,3625,1970/01/01 00:00:00+00,,{846904EF-4924-4623-A501-ABE022974E48},,2,P28,,55.8658587459967
